Speler;Link;Datum;Speelronde;P_Gespeeld;P_Gewonnen;P_Gelijk;P_Verloren;P_Kaart_Geel;P_Kaart_Rood;P_Doelpunt;P_Assist;P_Tegendoelpunt;P_Eigen_Doelpunt;P_Clean_Sheet;P_Penalty_Gescoord;P_Penalty_Gemist;P_Penalty_Gestopt;P_Totaal
P. Koopmeiners;/players/peer-koopmeiners/533281/;2024-08-17;2;2.5666666666666664;1.711111111111111;0.0;0.0;-0.0;-0.0;0.0;0.0;0.0;-0.0;2.5666666666666664;0.0;-0.0;0.0;6.844444444444444
S. Mijnans;/players/sven-mijnans/566000/;2024-08-17;2;2.6;1.7333333333333334;0.0;0.0;-0.0;-0.0;9.0;0.0;0.0;-0.0;2.6;0.0;-0.0;0.0;15.933333333333334
I. Sadiq;/players/ibrahim-sadiq/513977/;2024-08-17;2;3.0;2.0;0.0;0.0;-0.0;-0.0;0.0;0.0;0.0;-0.0;1.0;0.0;-0.0;0.0;6.0
T. Parrott;/players/troy-parrot/515624/;2024-08-17;2;3.0;2.0;0.0;0.0;-0.0;-0.0;0.0;0.0;0.0;-0.0;1.0;0.0;-0.0;0.0;6.0
M. van Brederode;/players/myron-van-brederode/638358/;2024-08-17;2;2.0;1.3333333333333333;0.0;0.0;-0.0;-0.0;0.0;0.0;0.0;-0.0;0.6666666666666666;0.0;-0.0;0.0;3.9999999999999996
R. van Bommel;/players/ruben-van-bommel/834074/;2024-08-17;2;1.0;0.6666666666666666;0.0;0.0;-0.0;-0.0;0.0;0.0;0.0;-0.0;0.3333333333333333;0.0;-0.0;0.0;1.9999999999999998
K. Belić;/players/kristijan-belic/453868/;2024-08-17;2;0.4333333333333333;0.28888888888888886;0.0;0.0;-0.0;-0.0;0.0;0.0;0.0;-0.0;0.4333333333333333;0.0;-0.0;0.0;1.1555555555555554
Z. Buurmeester;/players/zico-buurmeester/627669/;2024-08-17;2;0.4;0.26666666666666666;0.0;0.0;-0.0;-0.0;0.0;0.0;0.0;-0.0;0.4;0.0;-0.0;0.0;1.0666666666666669
R. Bazoer;/players/riechedly-bazoer/218161/;2024-08-17;2;0.06666666666666667;0.044444444444444446;0.0;0.0;-2.0;-0.0;0.0;0.0;-0.0;-0.0;0.22222222222222224;0.0;-0.0;0.0;-1.6666666666666665
M. Meerdink;/players/mexx-meerdink/796451/;2024-08-17;2;0.0;0.0;0.0;0.0;-0.0;-0.0;0.0;0.0;0.0;-0.0;0.0;0.0;-0.0;0.0;0.0
D. Kasius;/players/denso-kasius/569311/;2024-08-17;2;0.0;0.0;0.0;0.0;-0.0;-0.0;0.0;0.0;-0.0;-0.0;0.0;0.0;-0.0;0.0;0.0
E. Poku;/players/ernest-poku/700544/;2024-08-17;2;0.0;0.0;0.0;0.0;-0.0;-0.0;0.0;0.0;0.0;-0.0;0.0;0.0;-0.0;0.0;0.0
L. Zeefuik;/players/lequincio-zeefuik/699766/;2024-08-17;2;0.0;0.0;0.0;0.0;-0.0;-0.0;0.0;0.0;0.0;-0.0;0.0;0.0;-0.0;0.0;0.0
J. Addai;/players/jayden-addai/789997/;2024-08-17;2;0.0;0.0;0.0;0.0;-0.0;-0.0;0.0;0.0;0.0;-0.0;0.0;0.0;-0.0;0.0;0.0
H. Verhulst;/players/hobie-verhulst/138446/;2024-08-17;2;0.0;0.0;0.0;0.0;-0.0;-0.0;0.0;0.0;-0.0;-0.0;0.0;0.0;-0.0;0.0;0.0
D. Deen;/players/daniel-deen/670179/;2024-08-17;2;0.0;0.0;0.0;0.0;-0.0;-0.0;0.0;0.0;-0.0;-0.0;0.0;0.0;-0.0;0.0;0.0
R. Roefs;/players/robin-roefs/636190/;2024-08-17;2;3.0;0.0;0.0;0.0;-0.0;-0.0;0.0;0.0;-1.0;-0.0;0.0;0.0;-0.0;0.0;2.0
B. Nuytinck;/players/bram-nuytinck/86442/;2024-08-17;2;3.0;0.0;0.0;0.0;-0.0;-0.0;0.0;0.0;-1.0;-0.0;0.0;0.0;-0.0;0.0;2.0
C. Verdonk;/players/calvin-verdonk/319288/;2024-08-17;2;3.0;0.0;0.0;0.0;-0.0;-0.0;0.0;0.0;-1.0;-0.0;0.0;0.0;-0.0;0.0;2.0
Iván Márquez;/players/ivan-marquez-alvarez/352663/;2024-08-17;2;3.0;0.0;0.0;0.0;-2.0;-0.0;0.0;0.0;-1.0;-0.0;0.0;0.0;-0.0;0.0;0.0
B. van Rooij;/players/bart-van-rooij/557859/;2024-08-17;2;2.933333333333333;0.0;0.0;0.0;-0.0;-0.0;0.0;0.0;-1.0;-0.0;0.0;0.0;-0.0;0.0;1.9333333333333331
M. Hoedemakers;/players/mees-hoedemakers/465082/;2024-08-17;2;2.8;0.0;0.0;0.0;-2.0;-0.0;0.0;0.0;0.0;-0.0;0.0;0.0;-0.0;0.0;0.7999999999999998
Róber;/players/roberto-gonzalez-bayon/500171/;2024-08-17;2;2.5666666666666664;0.0;0.0;0.0;-0.0;-0.0;0.0;0.0;0.0;-0.0;0.0;0.0;-0.0;0.0;2.5666666666666664
D. Proper;/players/dirk-proper/525939/;2024-08-17;2;3.0;0.0;0.0;0.0;-0.0;-0.0;0.0;0.0;0.0;-0.0;0.0;0.0;-0.0;0.0;3.0
K. Sano;/players/kodai-sano/815318/;2024-08-17;2;3.0;0.0;0.0;0.0;-0.0;-0.0;0.0;0.0;0.0;-0.0;0.0;0.0;-0.0;0.0;3.0
S. Ouaissa;/players/sami-ouaissa/856399/;2024-08-17;2;2.1999999999999997;0.0;0.0;0.0;-0.0;-0.0;0.0;0.0;0.0;-0.0;0.0;0.0;-0.0;0.0;2.1999999999999997
B. Önal;/players/basar-onal/822550/;2024-08-17;2;2.8;0.0;0.0;0.0;-0.0;-0.0;0.0;0.0;0.0;-0.0;0.0;0.0;-0.0;0.0;2.8
K. Ogawa;/players/koki-ogawa/435835/;2024-08-17;2;0.8;0.0;0.0;0.0;-0.0;-0.0;0.0;0.0;0.0;-0.0;0.0;0.0;-0.0;0.0;0.8
S. Hansen;/players/sontje-hansen/508823/;2024-08-17;2;0.4333333333333333;0.0;0.0;0.0;-0.0;-0.0;0.0;0.0;0.0;-0.0;0.0;0.0;-0.0;0.0;0.4333333333333333
T. Ouwejan;/players/thomas-ouwejan/407740/;2024-08-17;2;0.2;0.0;0.0;0.0;-0.0;-0.0;0.0;0.0;-0.0;-0.0;0.0;0.0;-0.0;0.0;0.2
L. Schöne;/players/lasse-schone/17366/;2024-08-17;2;0.2;0.0;0.0;0.0;-0.0;-0.0;0.0;0.0;0.0;-0.0;0.0;0.0;-0.0;0.0;0.2
B. Pereira;/players/brayann-pereira/640596/;2024-08-17;2;0.06666666666666667;0.0;0.0;0.0;-0.0;-0.0;0.0;0.0;-0.0;-0.0;0.0;0.0;-0.0;0.0;0.06666666666666667
A. Darellas;/players/argyrios-darelas/637189/;2024-08-17;2;0.0;0.0;0.0;0.0;-0.0;-0.0;0.0;0.0;0.0;-0.0;0.0;0.0;-0.0;0.0;0.0
R. Janse;/players/rijk-janse/632550/;2024-08-17;2;0.0;0.0;0.0;0.0;-0.0;-0.0;0.0;0.0;-0.0;-0.0;0.0;0.0;-0.0;0.0;0.0
S. van Gassel;/players/stijn-van-gassel/323665/;2024-08-17;2;0.0;0.0;0.0;0.0;-0.0;-0.0;0.0;0.0;-0.0;-0.0;0.0;0.0;-0.0;0.0;0.0
K. de Wit;/players/kas-de-wit/857092/;2024-08-17;2;0.0;0.0;0.0;0.0;-0.0;-0.0;0.0;0.0;0.0;-0.0;0.0;0.0;-0.0;0.0;0.0
J. Houwen;/players/jeroen-houwen/303254/;2024-08-17;2;3.0;0.0;0.0;0.0;-0.0;-0.0;0.0;0.0;-2.0;-0.0;0.0;0.0;-0.0;0.0;1.0
A. Meijers;/players/aaron-meijers/59081/;2024-08-17;2;2.6333333333333333;0.0;0.0;0.0;-0.0;-0.0;0.0;0.0;-2.0;-0.0;0.0;0.0;-0.0;0.0;0.6333333333333333
D. Van den Buijs;/players/dario-van-den-buijs/353273/;2024-08-17;2;2.6333333333333333;0.0;0.0;0.0;-0.0;-0.0;0.0;0.0;-2.0;-0.0;0.0;0.0;-0.0;0.0;0.6333333333333333
J. Lelieveld;/players/julian-lelieveld/407738/;2024-08-17;2;2.6;0.0;0.0;0.0;-0.0;-0.0;0.0;0.0;-2.0;-0.0;0.0;0.0;-0.0;0.0;0.6000000000000001
R. van Eijma;/players/roshon-van-eijma/539577/;2024-08-17;2;3.0;0.0;0.0;0.0;-0.0;-0.0;0.0;0.0;-2.0;-0.0;0.0;0.0;-0.0;0.0;1.0
R. van der Venne;/players/richard-van-der-venne/261975/;2024-08-17;2;3.0;0.0;0.0;0.0;-2.0;-0.0;9.0;0.0;0.0;-0.0;0.0;0.0;-0.0;0.0;10.0
G. Roemeratoe;/players/godfried-roemeratoe/426582/;2024-08-17;2;2.8;0.0;0.0;0.0;-0.0;-0.0;0.0;0.0;0.0;-0.0;0.0;0.0;-0.0;0.0;2.8
Y. Oukili;/players/yassin-oukili/567948/;2024-08-17;2;3.0;0.0;0.0;0.0;-0.0;-0.0;0.0;0.0;0.0;-0.0;0.0;0.0;-0.0;0.0;3.0
C. Lokesa;/players/chris-lokesa/847737/;2024-08-17;2;3.0;0.0;0.0;0.0;-0.0;-0.0;0.0;0.0;0.0;-0.0;0.0;0.0;-0.0;0.0;3.0
O. Zawada;/players/oskar-zawada/289870/;2024-08-17;2;3.0;0.0;0.0;0.0;-0.0;-8.0;0.0;0.0;0.0;-0.0;0.0;0.0;-0.0;0.0;-5.0
D. Cleonise;/players/denilho-cleonise/642338/;2024-08-17;2;2.6;0.0;0.0;0.0;-2.0;-0.0;0.0;0.0;0.0;-0.0;0.0;0.0;-0.0;0.0;0.6000000000000001
J. Familia-Castillo;/players/juan-familio-castillo/453849/;2024-08-17;2;0.4;0.0;0.0;0.0;-0.0;-0.0;0.0;0.0;-0.0;-0.0;0.0;0.0;-0.0;0.0;0.4
R. Margaret;/players/richonell-margaret/508815/;2024-08-17;2;0.4;0.0;0.0;0.0;-0.0;-0.0;0.0;0.0;0.0;-0.0;0.0;0.0;-0.0;0.0;0.4
M. Kramer;/players/michiel-kramer/19677/;2024-08-17;2;0.36666666666666664;0.0;0.0;0.0;-0.0;-0.0;0.0;0.0;0.0;-0.0;0.0;0.0;-0.0;0.0;0.36666666666666664
L. van Gelderen;/players/liam--van-gelderen/463011/;2024-08-17;2;0.36666666666666664;0.0;0.0;0.0;-0.0;-0.0;0.0;0.0;-0.0;-0.0;0.0;0.0;-0.0;0.0;0.36666666666666664
D. Weidmann;/players/daouda-weidmann/782160/;2024-08-17;2;0.2;0.0;0.0;0.0;-0.0;-0.0;0.0;0.0;0.0;-0.0;0.0;0.0;-0.0;0.0;0.2
J. Kesting;/players/joey-kesting/567938/;2024-08-17;2;0.0;0.0;0.0;0.0;-0.0;-0.0;0.0;0.0;-0.0;-0.0;0.0;0.0;-0.0;0.0;0.0
Y. van Osch;/players/van-yanick-osch/319269/;2024-08-17;2;0.0;0.0;0.0;0.0;-0.0;-0.0;0.0;0.0;-0.0;-0.0;0.0;0.0;-0.0;0.0;0.0
I. Takidine;/players/ilias-takidine/632532/;2024-08-17;2;0.0;0.0;0.0;0.0;-0.0;-0.0;0.0;0.0;0.0;-0.0;0.0;0.0;-0.0;0.0;0.0
P. Vroegh;/players/patrick-vroegh/457667/;2024-08-17;2;0.0;0.0;0.0;0.0;-0.0;-0.0;0.0;0.0;0.0;-0.0;0.0;0.0;-0.0;0.0;0.0
T. van de Loo;/players/tim-van-de-loo/813111/;2024-08-17;2;0.0;0.0;0.0;0.0;-0.0;-0.0;0.0;0.0;0.0;-0.0;0.0;0.0;-0.0;0.0;0.0
R. Niemeijer;/players/reuven-niemeijer/447106/;2024-08-17;2;0.0;0.0;0.0;0.0;-0.0;-0.0;0.0;0.0;0.0;-0.0;0.0;0.0;-0.0;0.0;0.0
E. Vaessen;/players/etienne-vaessen/408572/;2024-08-17;2;3.0;2.0;0.0;0.0;-0.0;-0.0;0.0;0.0;-1.0;-0.0;0.0;0.0;-0.0;0.0;4.0
M. Peersman;/players/marvin-peersman/89988/;2024-08-17;2;3.0;2.0;0.0;0.0;-0.0;-0.0;0.0;0.0;-1.0;-0.0;0.0;0.0;-0.0;0.0;4.0
M. Rente;/players/marco-rente/450717/;2024-08-17;2;3.0;2.0;0.0;0.0;-0.0;-0.0;0.0;0.0;-1.0;-0.0;0.0;0.0;-0.0;0.0;4.0
F. Stam;/players/finn-stam/736439/;2024-08-17;2;3.0;2.0;0.0;0.0;-2.0;-0.0;0.0;0.0;-1.0;-0.0;0.0;0.0;-0.0;0.0;2.0
L. Bacuna;/players/leandro-bacuna/88003/;2024-08-17;2;3.0;2.0;0.0;0.0;-2.0;-0.0;0.0;10.0;0.0;-0.0;0.0;0.0;-0.0;0.0;13.0
J. Hove;/players/johan-hove/444353/;2024-08-17;2;3.0;2.0;0.0;0.0;-0.0;-0.0;0.0;0.0;0.0;-0.0;0.0;0.0;-0.0;0.0;5.0
T. de Jonge;/players/tika-de-jonge/643975/;2024-08-17;2;3.0;2.0;0.0;0.0;-0.0;-0.0;0.0;0.0;0.0;-0.0;0.0;0.0;-0.0;0.0;5.0
L. Valente;/players/luciano-valente/703884/;2024-08-17;2;2.9;1.9333333333333333;0.0;0.0;-0.0;-0.0;0.0;0.0;0.0;-0.0;0.0;0.0;-0.0;0.0;4.833333333333333
J. Schreuders;/players/jorg-schreuders/877779/;2024-08-17;2;3.0;2.0;0.0;0.0;-0.0;-0.0;9.0;0.0;0.0;-0.0;0.0;0.0;-0.0;0.0;14.0
Rui Mendes;/players/rui-jorge-monteiro-mendes/453390/;2024-08-17;2;2.4333333333333336;1.6222222222222222;0.0;0.0;-0.0;-0.0;0.0;0.0;0.0;-0.0;0.0;0.0;-0.0;0.0;4.055555555555555
T. van Bergen;/players/thom-van-bergen/873104/;2024-08-17;2;2.933333333333333;1.9555555555555555;0.0;0.0;-0.0;-0.0;8.0;0.0;0.0;-0.0;0.0;0.0;-0.0;0.0;12.88888888888889
T. Oosting;/players/thijs-oosting/477591/;2024-08-17;2;0.5666666666666667;0.37777777777777777;0.0;0.0;-0.0;-0.0;0.0;0.0;0.0;-0.0;0.0;0.0;-0.0;0.0;0.9444444444444444
B. Willumsson;/players/brynjolfur-darri-willumsson/463548/;2024-08-17;2;0.1;0.06666666666666667;0.0;0.0;-0.0;-0.0;0.0;0.0;0.0;-0.0;0.0;0.0;-0.0;0.0;0.16666666666666669
T. Blokzijl;/players/thijmen-blokzijl/703893/;2024-08-17;2;0.06666666666666667;0.044444444444444446;0.0;0.0;-0.0;-0.0;0.0;0.0;-1.0;-0.0;0.0;0.0;-0.0;0.0;-0.8888888888888888
S. Bouland;/players/sven-bouland/948734/;2024-08-17;2;0.0;0.0;0.0;0.0;-0.0;-0.0;0.0;0.0;-0.0;-0.0;0.0;0.0;-0.0;0.0;0.0
J. Pelupessy;/players/joey-pelupessy/197572/;2024-08-17;2;0.0;0.0;0.0;0.0;-0.0;-0.0;0.0;0.0;0.0;-0.0;0.0;0.0;-0.0;0.0;0.0
D. Baron;/players/dirk-baron/821647/;2024-08-17;2;0.0;0.0;0.0;0.0;-0.0;-0.0;0.0;0.0;-0.0;-0.0;0.0;0.0;-0.0;0.0;0.0
H. Jurjus;/players/hidde-jurjus/301076/;2024-08-17;2;0.0;0.0;0.0;0.0;-0.0;-0.0;0.0;0.0;-0.0;-0.0;0.0;0.0;-0.0;0.0;0.0
N. Emeran;/players/noam-emeran/671004/;2024-08-17;2;0.0;0.0;0.0;0.0;-0.0;-0.0;0.0;0.0;0.0;-0.0;0.0;0.0;-0.0;0.0;0.0
W. Prins;/players/wouter-prins/930296/;2024-08-17;2;0.0;0.0;0.0;0.0;-0.0;-0.0;0.0;0.0;-0.0;-0.0;0.0;0.0;-0.0;0.0;0.0
L. Unnerstall;/players/lars-unnerstall/81320/;2024-08-17;2;3.0;0.0;1.0;0.0;-0.0;-0.0;0.0;0.0;-1.0;-0.0;0.0;0.0;-0.0;0.0;3.0
B. Kuipers;/players/bas-edo-kuipers/274649/;2024-08-17;2;3.0;0.0;1.0;0.0;-0.0;-0.0;0.0;0.0;-1.0;-0.0;0.0;0.0;-0.0;0.0;3.0
A. Salah-Eddine;/players/anass-salah-eddine/525927/;2024-08-17;2;2.7333333333333334;0.0;0.9111111111111111;0.0;-0.0;-0.0;0.0;0.0;-1.0;-0.0;0.0;0.0;-0.0;0.0;2.6444444444444444
M. Hilgers;/players/mees-hilgers/627701/;2024-08-17;2;3.0;0.0;1.0;0.0;-2.0;-0.0;0.0;0.0;-1.0;-0.0;0.0;0.0;-0.0;0.0;1.0
C. Eiting;/players/carel-eiting/379791/;2024-08-17;2;1.9;0.0;0.6333333333333333;0.0;-0.0;-0.0;0.0;0.0;0.0;-0.0;0.0;0.0;-0.0;0.0;2.533333333333333
M. Vlap;/players/michel-vlap/407742/;2024-08-17;2;3.0;0.0;1.0;0.0;-0.0;-0.0;0.0;0.0;0.0;-0.0;0.0;0.0;-0.0;0.0;4.0
S. Steijn;/players/sem-steijn/560623/;2024-08-17;2;3.0;0.0;1.0;0.0;-0.0;-0.0;0.0;0.0;0.0;-0.0;0.0;3.0;-0.0;0.0;7.0
M. Bruns;/players/max-bruns/628828/;2024-08-17;2;3.0;0.0;1.0;0.0;-0.0;-0.0;0.0;0.0;0.0;-0.0;0.0;0.0;-0.0;0.0;4.0
S. Ltaief;/players/sayfallah-ltaief/659735/;2024-08-17;2;2.1999999999999997;0.0;0.7333333333333333;0.0;-0.0;-0.0;0.0;0.0;0.0;-0.0;0.0;0.0;-0.0;0.0;2.933333333333333
S. Lammers;/players/sam-lammers/407736/;2024-08-17;2;1.5333333333333332;0.0;0.5111111111111111;0.0;-0.0;-0.0;0.0;0.0;0.0;-0.0;0.0;0.0;-0.0;0.0;2.0444444444444443
M. van Bergen;/players/mitchell-van-bergen/426574/;2024-08-17;2;1.5333333333333332;0.0;0.5111111111111111;0.0;-0.0;-0.0;0.0;0.0;0.0;-0.0;0.0;0.0;-0.0;0.0;2.0444444444444443
D. Rots;/players/daan-rots/628516/;2024-08-17;2;1.4666666666666666;0.0;0.4888888888888889;0.0;-0.0;-0.0;0.0;0.0;0.0;-0.0;0.0;0.0;-0.0;0.0;1.9555555555555555
Y. Taha;/players/younes-taha-el-idrissi/755774/;2024-08-17;2;1.4666666666666666;0.0;0.4888888888888889;0.0;-0.0;-0.0;0.0;0.0;0.0;-0.0;0.0;0.0;-0.0;0.0;1.9555555555555555
M. Kjølø;/players/mathias-ullereng-kjolo/517477/;2024-08-17;2;1.0999999999999999;0.0;0.36666666666666664;0.0;-0.0;-0.0;0.0;0.0;0.0;-0.0;0.0;0.0;-0.0;0.0;1.4666666666666666
Y. Regeer;/players/youri-regeer/632221/;2024-08-17;2;0.8;0.0;0.26666666666666666;0.0;-0.0;-0.0;0.0;0.0;0.0;-0.0;0.0;0.0;-0.0;0.0;1.0666666666666667
A. Van Hoorenbeeck;/players/alec-van-hoorenbeeck/593523/;2024-08-17;2;0.26666666666666666;0.0;0.08888888888888889;0.0;-0.0;-0.0;0.0;0.0;-0.0;-0.0;0.0;0.0;-0.0;0.0;0.35555555555555557
I. El Maach;/players/issam-el-maach/506880/;2024-08-17;2;0.0;0.0;0.0;0.0;-0.0;-0.0;0.0;0.0;-0.0;-0.0;0.0;0.0;-0.0;0.0;0.0
R. van Wolfswinkel;/players/ricky-van-wolfswinkel/59407/;2024-08-17;2;0.0;0.0;0.0;0.0;-0.0;-0.0;0.0;0.0;0.0;-0.0;0.0;0.0;-0.0;0.0;0.0
M. Rots;/players/mats-rots/830558/;2024-08-17;2;0.0;0.0;0.0;0.0;-0.0;-0.0;0.0;0.0;-0.0;-0.0;0.0;0.0;-0.0;0.0;0.0
J. Mesbahi;/players/julien-mesbahi/830556/;2024-08-17;2;0.0;0.0;0.0;0.0;-0.0;-0.0;0.0;0.0;-0.0;-0.0;0.0;0.0;-0.0;0.0;0.0
H. Kuster;/players/harrie-kuster/916880/;2024-08-17;2;0.0;0.0;0.0;0.0;-0.0;-0.0;0.0;0.0;0.0;-0.0;0.0;0.0;-0.0;0.0;0.0
P. Tytoń;/players/przemyslaw-tyton/17326/;2024-08-17;2;0.0;0.0;0.0;0.0;-0.0;-0.0;0.0;0.0;-0.0;-0.0;0.0;0.0;-0.0;0.0;0.0
N. Olij;/players/nick-olij/235322/;2024-08-17;2;3.0;0.0;1.0;0.0;-0.0;-0.0;0.0;0.0;-1.0;-0.0;0.0;0.0;-0.0;0.0;3.0
B. Reith;/players/boyd-reith/427038/;2024-08-17;2;3.0;0.0;1.0;0.0;-0.0;-0.0;0.0;0.0;-1.0;-0.0;0.0;0.0;-0.0;0.0;3.0
M. Eerdhuijzen;/players/mike--eerdhuijzen/537301/;2024-08-17;2;2.9;0.0;0.9666666666666667;0.0;-0.0;-0.0;0.0;0.0;-0.0;-0.0;0.0;0.0;-0.0;0.0;3.8666666666666667
T. Quintero;/players/teo-quintero/565562/;2024-08-17;2;3.0;0.0;1.0;0.0;-0.0;-0.0;0.0;0.0;-1.0;-0.0;0.0;0.0;-0.0;0.0;3.0
D. van der Kust;/players/djevencio-van-der-kust/569309/;2024-08-17;2;3.0;0.0;1.0;0.0;-0.0;-0.0;0.0;0.0;-1.0;-0.0;0.0;0.0;-0.0;0.0;3.0
A. Verschueren;/players/arno-vershueren/319385/;2024-08-17;2;2.9;0.0;0.9666666666666667;0.0;-0.0;-0.0;0.0;0.0;0.0;-0.0;0.0;0.0;-0.0;0.0;3.8666666666666667
P. Clement;/players/pelle-clement/379793/;2024-08-17;2;2.6666666666666665;0.0;0.8888888888888888;0.0;-0.0;-0.0;0.0;0.0;0.0;-0.0;0.0;0.0;-0.0;0.0;3.5555555555555554
J. Baas;/players/julian-baas/663406/;2024-08-17;2;3.0;0.0;1.0;0.0;-0.0;-0.0;0.0;0.0;0.0;-0.0;0.0;0.0;-0.0;0.0;4.0
M. Nassoh;/players/mohamed-nassoh/680659/;2024-08-17;2;2.6666666666666665;0.0;0.8888888888888888;0.0;-0.0;-0.0;0.0;0.0;0.0;-0.0;0.0;0.0;-0.0;0.0;3.5555555555555554
T. Lauritsen;/players/tobias-lauritsen/406745/;2024-08-17;2;3.0;0.0;1.0;0.0;-0.0;-0.0;8.0;0.0;0.0;-0.0;0.0;0.0;-0.0;0.0;12.0
C. Neghli;/players/camiel-neghli/680707/;2024-08-17;2;2.3333333333333335;0.0;0.7777777777777778;0.0;-0.0;-0.0;0.0;0.0;0.0;-0.0;0.0;0.0;-0.0;0.0;3.111111111111111
S. Mito;/players/shunsuke-mito/640252/;2024-08-17;2;0.6666666666666666;0.0;0.2222222222222222;0.0;-0.0;-0.0;0.0;0.0;0.0;-0.0;0.0;0.0;-0.0;0.0;0.8888888888888888
C. Brym;/players/charles-andreas-brym/538704/;2024-08-17;2;0.3333333333333333;0.0;0.1111111111111111;0.0;-0.0;-0.0;0.0;0.0;0.0;-0.0;0.0;0.0;-0.0;0.0;0.4444444444444444
A. Oufkir;/players/ayoub-oufkir/935867/;2024-08-17;2;0.3333333333333333;0.0;0.1111111111111111;0.0;-0.0;-0.0;0.0;4.0;0.0;-0.0;0.0;0.0;-0.0;0.0;4.444444444444445
Metinho;/players/abemly-meto-silu/691959/;2024-08-17;2;0.1;0.0;0.03333333333333333;0.0;-0.0;-0.0;0.0;0.0;0.0;-0.0;0.0;0.0;-0.0;0.0;0.13333333333333333
R. Meissen;/players/rick-meissen/571955/;2024-08-17;2;0.1;0.0;0.03333333333333333;0.0;-0.0;-0.0;0.0;0.0;-1.0;-0.0;0.0;0.0;-0.0;0.0;-0.8666666666666667
Y. Schoonderwaldt;/players/youri-youri-schoonderwaldt/537694/;2024-08-17;2;0.0;0.0;0.0;0.0;-0.0;-0.0;0.0;0.0;-0.0;-0.0;0.0;0.0;-0.0;0.0;0.0
M. Young;/players/marvin-young/890667/;2024-08-17;2;0.0;0.0;0.0;0.0;-0.0;-0.0;0.0;0.0;-0.0;-0.0;0.0;0.0;-0.0;0.0;0.0
K. Reitmaier;/players/kaylen-jermaine-danny-reitmaier/674708/;2024-08-17;2;0.0;0.0;0.0;0.0;-0.0;-0.0;0.0;0.0;-0.0;-0.0;0.0;0.0;-0.0;0.0;0.0
J. de Guzmán;/players/jonathan-alexander-de-guzman/2259/;2024-08-17;2;0.0;0.0;0.0;0.0;-0.0;-0.0;0.0;0.0;0.0;-0.0;0.0;0.0;-0.0;0.0;0.0
M. Kleijn;/players/mike-kleijn/778111/;2024-08-17;2;0.0;0.0;0.0;0.0;-0.0;-0.0;0.0;0.0;-0.0;-0.0;0.0;0.0;-0.0;0.0;0.0
S. Bakari;/players/said-bakari/325391/;2024-08-17;2;0.0;0.0;0.0;0.0;-0.0;-0.0;0.0;0.0;-0.0;-0.0;0.0;0.0;-0.0;0.0;0.0
H. El Dahri;/players/hamza-el-dahri/819347/;2024-08-17;2;0.0;0.0;0.0;0.0;-0.0;-0.0;0.0;0.0;0.0;-0.0;0.0;0.0;-0.0;0.0;0.0
M. van der Hart;/players/mickey-van-der-hart/218009/;2024-08-17;2;3.0;0.0;1.0;0.0;-0.0;-0.0;0.0;0.0;-1.0;-0.0;0.0;0.0;-0.0;0.0;3.0
P. Bochniewicz;/players/pawe-bochniewicz/273911/;2024-08-17;2;3.0;0.0;1.0;0.0;-2.0;-0.0;0.0;0.0;-1.0;-0.0;0.0;0.0;-0.0;0.0;1.0
M. Köhlert;/players/mats-kohlert/400423/;2024-08-17;2;3.0;0.0;1.0;0.0;-0.0;-0.0;0.0;0.0;-1.0;-0.0;0.0;0.0;-0.0;0.0;3.0
S. Kersten;/players/sam-kersten/453644/;2024-08-17;2;3.0;0.0;1.0;0.0;-2.0;-0.0;0.0;0.0;-1.0;-0.0;0.0;0.0;-0.0;0.0;1.0
D. Hall;/players/denzel-hall/508910/;2024-08-17;2;1.5333333333333332;0.0;0.5111111111111111;0.0;-0.0;-0.0;0.0;0.0;-1.0;-0.0;0.0;0.0;-0.0;0.0;1.0444444444444443
L. Brouwers;/players/luuk-brouwers/402458/;2024-08-17;2;3.0;0.0;1.0;0.0;-0.0;-0.0;0.0;0.0;0.0;-0.0;0.0;0.0;-0.0;0.0;4.0
S. Olsson;/players/simon-olsson/423888/;2024-08-17;2;3.0;0.0;1.0;0.0;-0.0;-0.0;0.0;0.0;0.0;-0.0;0.0;0.0;-0.0;0.0;4.0
E. van Ee;/players/espen-van-ee/921919/;2024-08-17;2;2.6;0.0;0.8666666666666667;0.0;-2.0;-0.0;0.0;0.0;0.0;-0.0;0.0;0.0;-0.0;0.0;1.4666666666666668
Danilo Al Saed;/players/danilo-al-saed/530444/;2024-08-17;2;1.5333333333333332;0.0;0.5111111111111111;0.0;-0.0;-0.0;0.0;0.0;0.0;-0.0;0.0;0.0;-0.0;0.0;2.0444444444444443
D. Karlsbakk;/players/daniel-seland-karlsbakk/629619/;2024-08-17;2;2.4000000000000004;0.0;0.8;0.0;-0.0;-0.0;0.0;0.0;0.0;-0.0;0.0;0.0;-0.0;0.0;3.2
I. Sebaoui;/players/ilias-sebaoui/797954/;2024-08-17;2;2.8666666666666667;0.0;0.9555555555555556;0.0;-0.0;-0.0;0.0;0.0;0.0;-0.0;0.0;0.0;-0.0;0.0;3.8222222222222224
J. Trenskow;/players/jacob-trenskow/672937/;2024-08-17;2;1.4666666666666666;0.0;0.4888888888888889;0.0;-0.0;-0.0;8.0;0.0;0.0;-0.0;0.0;0.0;-0.0;0.0;9.955555555555556
