Speler;Link;Datum;Speelronde;P_Gespeeld;P_Gewonnen;P_Gelijk;P_Verloren;P_Kaart_Geel;P_Kaart_Rood;P_Doelpunt;P_Assist;P_Tegendoelpunt;P_Eigen_Doelpunt;P_Clean_Sheet;P_Penalty_Gescoord;P_Penalty_Gemist;P_Penalty_Gestopt;P_Totaal
C. Staring;/players/casper-staring/628494/;2024-08-09;1;2.5;0.0;0.0;0.0;-0.0;-0.0;0.0;0.0;0.0;-0.0;0.0;0.0;-0.0;0.0;2.5
M. Balard;/players/maximilien-balard/643695/;2024-08-09;1;3.0;0.0;0.0;0.0;-0.0;-0.0;0.0;0.0;0.0;-0.0;0.0;0.0;-0.0;0.0;3.0
E. Ómarsson;/players/elias-mar-omarsson/213035/;2024-08-09;1;2.833333333333333;0.0;0.0;0.0;-0.0;-0.0;0.0;0.0;0.0;-0.0;0.0;0.0;-0.0;0.0;2.833333333333333
K. Kostorz;/players/kacper-kostorz/485378/;2024-08-09;1;2.5;0.0;0.0;0.0;-0.0;-0.0;0.0;0.0;0.0;-0.0;0.0;0.0;-0.0;0.0;2.5
R. Kuijpers;/players/roy-kuijpers/663306/;2024-08-09;1;0.4;0.0;0.0;0.0;-0.0;-0.0;0.0;0.0;0.0;-0.0;0.0;0.0;-0.0;0.0;0.4
M. Koscelník;/players/martin-koscelnik/353345/;2024-08-09;1;2.6;0.0;0.0;0.0;-2.0;-0.0;0.0;0.0;-3.0;-0.0;0.0;0.0;-0.0;0.0;-2.4
F. Oldrup Jensen;/players/fredrik-oldrup-jensen/231672/;2024-08-09;1;0.5;0.0;0.0;0.0;-0.0;-0.0;0.0;0.0;0.0;-0.0;0.0;0.0;-0.0;0.0;0.5
Saná Fernandes;/players/sana-fernandes/926017/;2024-08-09;1;0.5;0.0;0.0;0.0;-0.0;-0.0;0.0;0.0;0.0;-0.0;0.0;0.0;-0.0;0.0;0.5
A. Kaied;/players/adam-kaied/693342/;2024-08-09;1;0.16666666666666666;0.0;0.0;0.0;-0.0;-0.0;0.0;0.0;0.0;-0.0;0.0;0.0;-0.0;0.0;0.16666666666666666
M. Garbett;/players/matthew-garbett/577465/;2024-08-09;1;0.16666666666666666;0.0;0.0;0.0;-0.0;-0.0;0.0;0.0;0.0;-0.0;0.0;0.0;-0.0;0.0;0.16666666666666666
R. Kortsmit;/players/roy-kortsmit/200996/;2024-08-09;1;0.0;0.0;0.0;0.0;-0.0;-0.0;0.0;0.0;-0.0;-0.0;0.0;0.0;-0.0;0.0;0.0
L. Mol;/players/lars-mol/923583/;2024-08-09;1;0.0;0.0;0.0;0.0;-0.0;-0.0;0.0;0.0;-0.0;-0.0;0.0;0.0;-0.0;0.0;0.0
T. Troost;/players/tein-troost/525919/;2024-08-09;1;0.0;0.0;0.0;0.0;-0.0;-0.0;0.0;0.0;-0.0;-0.0;0.0;0.0;-0.0;0.0;0.0
C. Valerius;/players/cherrion-valerius/947863/;2024-08-09;1;0.0;0.0;0.0;0.0;-0.0;-0.0;0.0;0.0;-0.0;-0.0;0.0;0.0;-0.0;0.0;0.0
B. Lucassen;/players/boyd-lucassen/453952/;2024-08-09;1;0.0;0.0;0.0;0.0;-0.0;-0.0;0.0;0.0;-0.0;-0.0;0.0;0.0;-0.0;0.0;0.0
N. Bakker;/players/nordin-bakker/563909/;2024-08-10;1;3.0;0.0;0.0;0.0;-0.0;-0.0;0.0;0.0;-1.0;-0.0;0.0;0.0;-0.0;0.0;2.0
S. Floranus;/players/sherel-floranus/385271/;2024-08-10;1;3.0;0.0;0.0;0.0;-0.0;-0.0;0.0;0.0;-1.0;-0.0;0.0;0.0;-0.0;0.0;2.0
J. Jacobs;/players/joey-jacobs/537705/;2024-08-10;1;1.9666666666666668;0.0;0.0;0.0;-0.0;-0.0;0.0;0.0;-1.0;-0.0;0.0;0.0;-0.0;0.0;0.9666666666666668
V. Zagaritis;/players/vasilios-zagaritis/617928/;2024-08-10;1;3.0;0.0;0.0;0.0;-0.0;-0.0;0.0;0.0;-1.0;-0.0;0.0;0.0;-0.0;0.0;2.0
Visus;/players/ricardo-visus-contreras/642402/;2024-08-10;1;3.0;0.0;0.0;0.0;-0.0;-8.0;0.0;0.0;-1.0;-0.0;0.0;0.0;-0.0;0.0;-6.0
Álex Balboa;/players/alex-balboa-bandeira/627655/;2024-08-10;1;2.8666666666666667;0.0;0.0;0.0;-0.0;-0.0;0.0;0.0;0.0;-0.0;0.0;0.0;-0.0;0.0;2.8666666666666667
S. Resink;/players/stije-resink/681459/;2024-08-10;1;1.9666666666666668;0.0;0.0;0.0;-2.0;-0.0;0.0;0.0;0.0;-0.0;0.0;0.0;-0.0;0.0;-0.033333333333333215
J. Ritmeester van de Kamp;/players/jochem-ritmeester-van-de-kamp/801840/;2024-08-10;1;2.7;0.0;0.0;0.0;-0.0;-0.0;0.0;0.0;0.0;-0.0;0.0;0.0;-0.0;0.0;2.7
B. Guillaume;/players/baptiste-guillaume/285403/;2024-08-10;1;3.0;0.0;0.0;0.0;-0.0;-8.0;0.0;0.0;0.0;-0.0;0.0;0.0;-0.0;0.0;-5.0
T. Robinet;/players/thomas-robinet/312659/;2024-08-10;1;3.0;0.0;0.0;0.0;-0.0;-0.0;0.0;0.0;0.0;-0.0;0.0;0.0;-0.0;0.0;3.0
K. Hansen;/players/kornelius-normann-hansen/496125/;2024-08-10;1;2.7;0.0;0.0;0.0;-0.0;-0.0;0.0;0.0;0.0;-0.0;0.0;0.0;-0.0;0.0;2.7
F. Mattoir;/players/faiz-mattoir/547050/;2024-08-10;1;1.0333333333333332;0.0;0.0;0.0;-0.0;-0.0;0.0;0.0;0.0;-0.0;0.0;0.0;-0.0;0.0;1.0333333333333332
H. Akujobi;/players/hamdi-akujobi/567599/;2024-08-10;1;1.0333333333333332;0.0;0.0;0.0;-0.0;-0.0;0.0;0.0;-0.0;-0.0;0.0;0.0;-0.0;0.0;1.0333333333333332
C. Mamengi;/players/christopher-mamengi/540620/;2024-08-10;1;0.30000000000000004;0.0;0.0;0.0;-0.0;-0.0;0.0;0.0;-0.0;-0.0;0.0;0.0;-0.0;0.0;0.30000000000000004
A. Nalić;/players/adi-nalic/459631/;2024-08-10;1;0.30000000000000004;0.0;0.0;0.0;-0.0;-0.0;0.0;0.0;0.0;-0.0;0.0;0.0;-0.0;0.0;0.30000000000000004
G. Beaumont;/players/guus-beaumont/628831/;2024-08-10;1;0.13333333333333333;0.0;0.0;0.0;-0.0;-0.0;0.0;0.0;0.0;-0.0;0.0;0.0;-0.0;0.0;0.13333333333333333
E. Poku;/players/emanuel-poku/935872/;2024-08-10;1;0.0;0.0;0.0;0.0;-0.0;-0.0;0.0;0.0;0.0;-0.0;0.0;0.0;-0.0;0.0;0.0
