Rugnummer;Naam;Positie;Link;SW_Naam;SW_ID;Team;Naam_fix
14.0;L. Olden Larsen;M;/players/lars-olden-larsen/479687/;lars-olden-larsen;479687;NEC;L. Olden Larsen
55.0;S. Radić;V;/players/stipe-radi/482584/;stipe-radi;482584;Fortuna Sittard;S. Radic
24.0;N. Markelo;V;/players/nathangelo-markelo/488329/;nathangelo-markelo;488329;Fortuna Sittard;N. Markelo
;J. Hilterman;A;/players/jeredy-hilterman/488411/;jeredy-hilterman;488411;Almere City FC;J. Hilterman
4.0;R. El Yaakoubi;V;/players/redouan-el-yaakoubi/488412/;redouan-el-yaakoubi;488412;Excelsior;R. El Yaakoubi
29.0;S. Giménez;A;/players/santiago-tomas-gimenez/494293/;santiago-tomas-gimenez;494293;Feyenoord;S. Gimenez
3.0;L. Görlich;V;/players/luis-gorlich/494521/;luis-gorlich;494521;PEC Zwolle;L. Gorlich
20.0;M. Meulensteen;V;/players/melle-meulensteen/494756/;melle-meulensteen;494756;Vitesse;M. Meulensteen
17.0;K. Hansen;A;/players/kornelius-normann-hansen/496125/;kornelius-normann-hansen;496125;Almere City FC;K. Hansen
3.0;J. Wieckhoff;V;/players/jannes-luca-wieckhoff/497167/;jannes-luca-wieckhoff;497167;Heracles Almelo;J. Wieckhoff
27.0;M. Ugalde;A;/players/manfred-ugalde/498264/;manfred-ugalde;498264;FC Twente;M. Ugalde
9.0;T. Douvikas;A;/players/anastasios-douvikas/499168/;anastasios-douvikas;499168;FC Utrecht;T. Douvikas
11.0;Róber;M;/players/roberto-gonzalez-bayon/500171/;roberto-gonzalez-bayon;500171;NEC;Rober
35.0;K. Felida;M;/players/kevin--felida/501817/;kevin--felida;501817;RKC Waalwijk;K. Felida
8.0;M. Mattsson;A;/players/magnus-mattsson/501822/;magnus-mattsson;501822;NEC;M. Mattsson
;K. Saito;A;/players/koki-saito/502026/;koki-saito;502026;Sparta Rotterdam;K. Saito
6.0;Tiago Dantas;M;/players/tiago-filipe-oliveira-dantas/505982/;tiago-filipe-oliveira-dantas;505982;AZ;Tiago Dantas
12.0;A. Zagré;V;/players/arthur-zagre/506166/;arthur-zagre;506166;Excelsior;A. Zagre
;J. van Mullem;M;/players/jeremy-van-mullem/506324/;jeremy-van-mullem;506324;Sparta Rotterdam;J. van Mullem
16.0;I. El Maach;K;/players/issam-el-maach/506880/;issam-el-maach;506880;FC Twente;I. El Maach
5.0;G. Smal;V;/players/gijs-smal/508760/;gijs-smal;508760;FC Twente;G. Smal
33.0;D. Reiziger;K;/players/daan-reiziger/508764/;daan-reiziger;508764;Vitesse;D. Reiziger
8.0;K. Taylor;M;/players/kenneth-taylor/508784/;kenneth-taylor;508784;Ajax;K. Taylor
19.0;R. Margaret;A;/players/richonell-margaret/508815/;richonell-margaret;508815;RKC Waalwijk;R. Margaret
10.0;S. Hansen;A;/players/sontje-hansen/508823/;sontje-hansen;508823;NEC;S. Hansen
15.0;R. Hendriks;V;/players/ramon-hendriks/508909/;ramon-hendriks;508909;Vitesse;R. Hendriks
2.0;D. Hall;V;/players/denzel-hall/508910/;denzel-hall;508910;sc Heerenveen;D. Hall
11.0;M. Azarkan;A;/players/marouan-azarkan/508932/;marouan-azarkan;508932;FC Utrecht;M. Azarkan
20.0;M. Belkheir;A;/players/mouhamed-menaour--belkheir/509018/;mouhamed-menaour--belkheir;509018;Fortuna Sittard;M. Belkheir
;Sergi Rosanas;V;/players/sergi-rosanas-moragas/509680/;sergi-rosanas-moragas;509680;Sparta Rotterdam;Sergi Rosanas
27.0;R. Yapi;V;/players/romaric-yapi/509852/;romaric-yapi;509852;Vitesse;R. Yapi
;R. Ledezma;M;/players/richard-ledezma/512218/;richard-ledezma;512218;PSV;R. Ledezma
49.0;S. Colyn;M;/players/simon-colyn/512567/;simon-colyn;512567;psv-nv;S. Colyn
20.0;M. Kudus;M;/players/mohammed-kudus/513954/;mohammed-kudus;513954;Ajax;M. Kudus
11.0;I. Sadiq;A;/players/ibrahim-sadiq/513977/;ibrahim-sadiq;513977;AZ;I. Sadiq
7.0;A. Boutrah;A;/players/amine-boutrah/514110/;amine-boutrah;514110;Vitesse;A. Boutrah
2.0;S. Sambo;V;/players/shurandy-sambo/515458/;shurandy-sambo;515458;PSV;S. Sambo
;K. Goudmijn;M;/players/kenzo-goudmijn/515464/;kenzo-goudmijn;515464;Excelsior;K. Goudmijn
21.0;E. Llansana;M;/players/enric-llansana/515466/;enric-llansana;515466;Go Ahead Eagles;E. Llansana
9.0;T. Parrott;A;/players/troy-parrot/515624/;troy-parrot;515624;Excelsior;T. Parrott
22.0;T. Barbet;V;/players/theo-barbet/515917/;theo-barbet;515917;Almere City FC;T. Barbet
;J. Kitolano;M;/players/joshua-gaston-kitolano/517475/;joshua-gaston-kitolano;517475;Sparta Rotterdam;J. Kitolano
4.0;M. Kjølø;M;/players/mathias-ullereng-kjolo/517477/;mathias-ullereng-kjolo;517477;FC Twente;M. Kjolo
4.0;M. Ross;V;/players/mathias-jensen/517659/;mathias-jensen;517659;NEC;M. Ross
32.0;Y. Vertessen;A;/players/yorbe-vertessen/519188/;yorbe-vertessen;519188;PSV;Y. Vertessen
9.0;B. Brobbey;A;/players/brian-brobbey/520146/;brian-brobbey;520146;Ajax;B. Brobbey
14.0;R. Pepi;A;/players/ricardo-pepi/523964/;ricardo-pepi;523964;PSV;R. Pepi
32.0;C. Raatsie;K;/players/calvin-raatsie/525915/;calvin-raatsie;525915;FC Utrecht;C. Raatsie
28.0;N. Kasanwirjo;V;/players/neraysho-kasanwirjo/525925/;neraysho-kasanwirjo;525925;Feyenoord;N. Kasanwirjo
17.0;A. Salah-Eddine;V;/players/anass-salah-eddine/525927/;anass-salah-eddine;525927;Ajax;A. Salah-Eddine
6.0;S. van Ottele;V;/players/syb-van-ottele/525930/;syb-van-ottele;525930;sc Heerenveen;S. van Ottele
71.0;D. Proper;M;/players/dirk-proper/525939/;dirk-proper;525939;NEC;D. Proper
23.0;J. Hornkamp;A;/players/jizz-hornkamp/526566/;jizz-hornkamp;526566;Heracles Almelo;J. Hornkamp
6.0;C. Bozdoğan;M;/players/can-bozdogan/529101/;can-bozdogan;529101;FC Utrecht;C. Bozdogan
28.0;J. Flint;V;/players/josh-flint/529772/;josh-flint;529772;FC Volendam;J. Flint
34.0;R. Oratmangoen;A;/players/ragnar-oratmangoen/531049/;ragnar-oratmangoen;531049;Fortuna Sittard;R. Oratmangoen
77.0;O. Romeny;A;/players/ole-ter-haar-romeny/532140/;ole-ter-haar-romeny;532140;FC Utrecht;O. Romeny
15.0;P. Koopmeiners;M;/players/peer-koopmeiners/533281/;peer-koopmeiners;533281;Almere City FC;P. Koopmeiners
22.0;B. Lauwers;K;/players/barry--lauwers/537292/;barry--lauwers;537292;FC Volendam;B. Lauwers
;M. Eerdhuijzen;V;/players/mike--eerdhuijzen/537301/;mike--eerdhuijzen;537301;Sparta Rotterdam;M. Eerdhuijzen
15.0;D. James;V;/players/dean-ruben--james/537308/;dean-ruben--james;537308;Go Ahead Eagles;D. James
3.0;B. Plat;V;/players/brian--plat/537313/;brian--plat;537313;FC Volendam;B. Plat
5.0;T. Poll;V;/players/thomas-poll/537606/;thomas-poll;537606;Almere City FC;T. Poll
10.0;L. Duijvestijn;M;/players/lance-duijvestijn/537618/;lance-duijvestijn;537618;Almere City FC;L. Duijvestijn
24.0;A. Douiri;V;/players/achraf-douiri/537682/;achraf-douiri;537682;FC Volendam;A. Douiri
;Y. Schoonderwaldt;K;/players/youri-youri-schoonderwaldt/537694/;youri-youri-schoonderwaldt;537694;Sparta Rotterdam;Y. Schoonderwaldt
3.0;J. Jacobs;V;/players/joey-jacobs/537705/;joey-jacobs;537705;Almere City FC;J. Jacobs
2.0;S. Mokono;V;/players/sylian-mokono/537706/;sylian-mokono;537706;Heracles Almelo;S. Mokono
5.0;D. Murkin;V;/players/derry-john-murkin/537809/;derry-john-murkin;537809;FC Volendam;D. Murkin
34.0;L. Wouters;V;/players/luuk--wouters/537856/;luuk--wouters;537856;RKC Waalwijk;L. Wouters
16.0;S. El Karouani;V;/players/souffian-elkarouani/537878/;souffian-elkarouani;537878;FC Utrecht;S. El Karouani
;C. Brym;A;/players/charles-andreas-brym/538704/;charles-andreas-brym;538704;Sparta Rotterdam;C. Brym
7.0;E. Tavşan;A;/players/elayis-tavsan/540617/;elayis-tavsan;540617;NEC;E. Tavsan
25.0;C. Mamengi;V;/players/christopher-mamengi/540620/;christopher-mamengi;540620;Almere City FC;C. Mamengi
19.0;G. Mikautadze;A;/players/georges-mikautadze/541921/;georges-mikautadze;541921;Ajax;G. Mikautadze
25.0;R. Polley;V;/players/robin-polley/542861/;robin-polley;542861;Heracles Almelo;R. Polley
27.0;M. İbrahimoğlu;M;/players/melih-ibrahimoglu/543626/;melih-ibrahimoglu;543626;Heracles Almelo;M. Ibrahimoglu
23.0;O. Edvardsen;A;/players/oliver-valaker-edvardsen/545481/;oliver-valaker-edvardsen;545481;Go Ahead Eagles;O. Edvardsen
8.0;E. Linthorst;M;/players/evert-linthorst/546756/;evert-linthorst;546756;Go Ahead Eagles;E. Linthorst
24.0;F. Mattoir;A;/players/faiz-mattoir/547050/;faiz-mattoir;547050;Almere City FC;F. Mattoir
20.0;O. Sahraoui;A;/players/osame-sahraoui/547286/;osame-sahraoui;547286;sc Heerenveen;O. Sahraoui
2.0;M. Pedersen;V;/players/marcus-holmgren-pedersen/549159/;marcus-holmgren-pedersen;549159;Feyenoord;M. Pedersen
9.0;A. Ueda;A;/players/ayase-ueda/551425/;ayase-ueda;551425;Feyenoord;A. Ueda
31.0;I. Pandur;K;/players/ivor-pandur/557480/;ivor-pandur;557480;Fortuna Sittard;I. Pandur
28.0;B. van Rooij;V;/players/bart-van-rooij/557859/;bart-van-rooij;557859;NEC;B. van Rooij
14.0;S. Steijn;M;/players/sem-steijn/560623/;sem-steijn;560623;FC Twente;S. Steijn
16.0;T. van den Belt;M;/players/thomas-van-den-belt/561616/;thomas-van-den-belt;561616;Feyenoord;T. van den Belt
10.0;M. Tillman;A;/players/malik-tillman/561787/;malik-tillman;561787;PSV;M. Tillman
40.0;D. Ramaj;K;/players/diant-ramaj/562543/;diant-ramaj;562543;Ajax;D. Ramaj
24.0;A. Nankishi;A;/players/abdenego-nlola-nankishi/563130/;abdenego-nlola-nankishi;563130;Heracles Almelo;A. Nankishi
6.0;S. Čestić;V;/players/sava-arangel-cestic/563189/;sava-arangel-cestic;563189;Heracles Almelo;S. Cestic
6.0;A. Bella-Kotchap;V;/players/armel-bella-kotchap/563527/;armel-bella-kotchap;563527;PSV;A. Bella-Kotchap
1.0;N. Bakker;K;/players/nordin-bakker/563909/;nordin-bakker;563909;Almere City FC;N. Bakker
26.0;S. Keller;K;/players/stijn-keller/565989/;stijn-keller;565989;Almere City FC;S. Keller
16.0;S. Mijnans;M;/players/sven-mijnans/566000/;sven-mijnans;566000;AZ;S. Mijnans
20.0;H. Akujobi;V;/players/hamdi-akujobi/567599/;hamdi-akujobi;567599;Almere City FC;H. Akujobi
31.0;J. Kesting;K;/players/joey-kesting/567938/;joey-kesting;567938;RKC Waalwijk;J. Kesting
6.0;A. El Azzouzi;V;/players/anouar-el-azzouzi/567947/;anouar-el-azzouzi;567947;PEC Zwolle;A. El Azzouzi
6.0;Y. Oukili;M;/players/yassin-oukili/567948/;yassin-oukili;567948;RKC Waalwijk;Y. Oukili
17.0;I. Griffith;A;/players/iman-griffith/568104/;iman-griffith;568104;Fortuna Sittard;I. Griffith
5.0;Q. Hartman;V;/players/quilindschy-hartman/568141/;quilindschy-hartman;568141;Feyenoord;Q. Hartman
;D. van der Kust;V;/players/djevencio-van-der-kust/569309/;djevencio-van-der-kust;569309;Sparta Rotterdam;D. van der Kust
30.0;D. Kasius;V;/players/denso-kasius/569311/;denso-kasius;569311;AZ;D. Kasius
21.0;M. Tielemans;M;/players/mathijs-tielemans/571715/;mathijs-tielemans;571715;Vitesse;M. Tielemans
11.0;F. Fofana;A;/players/fode-fofana/571723/;fode-fofana;571723;Vitesse;F. Fofana
35.0;Francisco Conceição;A;/players/francisco-fernandes-conceicao/571807/;francisco-fernandes-conceicao;571807;Ajax;Francisco Conceicao
20.0;X. Blomme;M;/players/xander-blomme/571893/;xander-blomme;571893;Go Ahead Eagles;X. Blomme
32.0;T. Baeten;A;/players/thibo-baeten/571905/;thibo-baeten;571905;Go Ahead Eagles;T. Baeten
;R. Meissen;V;/players/rick-meissen/571955/;rick-meissen;571955;Sparta Rotterdam;R. Meissen
5.0;Alexandre Penetra;V;/players/alexandre-manuel-penetra-correia/572102/;alexandre-manuel-penetra-correia;572102;AZ;Alexandre Penetra
10.0;N. Ünüvar;A;/players/naci-unuvar/572118/;naci-unuvar;572118;FC Twente;N. Unuvar
1.0;M. Backhaus;K;/players/mio-backhaus/573147/;mio-backhaus;573147;FC Volendam;M. Backhaus
15.0;Hussein Ali Haidar;V;/players/hussein-ali/573309/;hussein-ali;573309;sc Heerenveen;Hussein Ali Haidar
;T. Velthuis;V;/players/tijs-velthuis/573315/;tijs-velthuis;573315;Sparta Rotterdam;T. Velthuis
11.0;O. Uddenäs;M;/players/oscar-uddenas/573334/;oscar-uddenas;573334;Excelsior;O. Uddenas
42.0;M. Manhoef;A;/players/million-manhoef/573340/;million-manhoef;573340;Vitesse;M. Manhoef
34.0;I. El Kadiri;A;/players/ibrahim-el-kadiri/573829/;ibrahim-el-kadiri;573829;FC Volendam;I. El Kadiri
14.0;A. Aventisian;V;/players/aventis-aventisian/574570/;aventis-aventisian;574570;Go Ahead Eagles;A. Aventisian
35.0;F. Oppegård;V;/players/fredrik-oppegard/575059/;fredrik-oppegard;575059;PSV;F. Oppegard
36.0;Y. Leliendal;V;/players/yannick-leliendal/575075/;yannick-leliendal;575075;FC Utrecht;Y. Leliendal
61.0;R. Vita;V;/players/remi-vita/575273/;remi-vita;575273;Fortuna Sittard;R. Vita
;S. van Duivenbooden;A;/players/simon-van-duivenbooden/575327/;simon-van-duivenbooden;575327;Vitesse;S. van Duivenbooden
20.0;M. Wieffer;M;/players/mats-wieffer/576067/;mats-wieffer;576067;Feyenoord;M. Wieffer
30.0;E. Bullaude;M;/players/ezequiel-eduardo-bullaude/577164/;ezequiel-eduardo-bullaude;577164;feyenoord-rotterdam-nv;E. Bullaude
23.0;E. Reijnders;A;/players/eliano-reijnders/577288/;eliano-reijnders;577288;PEC Zwolle;E. Reijnders
17.0;K. Kozłowski;M;/players/kacper-kozlowski/578532/;kacper-kozlowski;578532;Vitesse;K. Kozlowski
7.0;Z. Booth;M;/players/chadwick-booth/578538/;chadwick-booth;578538;FC Volendam;Z. Booth
31.0;X. Mbuyamba;V;/players/xavier-mbuyamba/580694/;xavier-mbuyamba;580694;FC Volendam;X. Mbuyamba
17.0;Y. Barası;A;/players/yusuf-barasi/581257/;yusuf-barasi;581257;AZ;Y. Barasi
13.0;E. Cornelisse;V;/players/enzo-cornelisse/581284/;enzo-cornelisse;581284;Vitesse;E. Cornelisse
44.0;M. Sankoh;A;/players/mohamed-sankoh/584479/;mohamed-sankoh;584479;Heracles Almelo;M. Sankoh
13.0;S. Westerveld;K;/players/sem-westerveld/585469/;sem-westerveld;585469;AZ;S. Westerveld
34.0;T. Taşçı;M;/players/muhammet-tunahan-tasci/586250/;muhammet-tunahan-tasci;586250;fortuna-sittard;T. Tasci
9.0;D. Min;A;/players/david-min/587715/;david-min;587715;RKC Waalwijk;D. Min
10.0;F. Stevanović;A;/players/filip-stevanovi/588438/;filip-stevanovi;588438;RKC Waalwijk;F. Stevanovic
22.0;T. Hendriks;K;/players/tom-hendriks/590321/;tom-hendriks;590321;Fortuna Sittard;T. Hendriks
;K. Fitz-Jim;M;/players/kian-fitz-jim/591724/;kian-fitz-jim;591724;Ajax;K. Fitz-Jim
14.0;Igor Paixão;A;/players/igor-guilherme-barbosa-da-paixao/593041/;igor-guilherme-barbosa-da-paixao;593041;Feyenoord;Igor Paixao
17.0;A. Van Hoorenbeeck;V;/players/alec-van-hoorenbeeck/593523/;alec-van-hoorenbeeck;593523;FC Twente;A. Van Hoorenbeeck
30.0;G. Ávila;V;/players/gaston-avila/594879/;gaston-avila;594879;Ajax;G. Avila
16.0;S. Mannsverk;M;/players/sivert-heggheim-mannsverk/600718/;sivert-heggheim-mannsverk;600718;Ajax;S. Mannsverk
2.0;D. Rensch;V;/players/devyne-rensch/601396/;devyne-rensch;601396;Ajax;D. Rensch
;D. Vianello;V;/players/delano-vianello/603235/;delano-vianello;603235;Sparta Rotterdam;D. Vianello
18.0;D. Møller Wolfe;V;/players/david-moller-wolfe/603294/;david-moller-wolfe;603294;AZ;D. Moller Wolfe
14.0;B. De Keersmaecker;M;/players/brian-de-keersmaecker/605558/;brian-de-keersmaecker;605558;Heracles Almelo;B. De Keersmaecker
;Pedro Alemañ;M;/players/pedro-serra/607414/;pedro-serra;607414;Sparta Rotterdam;Pedro Aleman
15.0;A. MacNulty;V;/players/anselmo-garcia-mcnulty/608607/;anselmo-garcia-mcnulty;608607;PEC Zwolle;A. MacNulty
38.0;D. Johnson;A;/players/darius-johnson/608990/;darius-johnson;608990;FC Volendam;D. Johnson
8.0;D. Huiberts;M;/players/dean-huiberts/616032/;dean-huiberts;616032;PEC Zwolle;D. Huiberts
21.0;J. Donkor;A;/players/jacky-donkor/618137/;jacky-donkor;618137;Excelsior;J. Donkor
12.0;R. Roosken;V;/players/ruben-roosken/618143/;ruben-roosken;618143;Heracles Almelo;R. Roosken
4.0;S. Adewoye;V;/players/shawn-adewoye/618207/;shawn-adewoye;618207;RKC Waalwijk;S. Adewoye
6.0;R. Zerrouki;M;/players/ramiz-larbi-zerrouki/621348/;ramiz-larbi-zerrouki;621348;Feyenoord;R. Zerrouki
3.0;S. Fofana;M;/players/sadik-fofana/621712/;sadik-fofana;621712;Fortuna Sittard;S. Fofana
77.0;T. Noslin;A;/players/tijanni-noslin/624318/;tijanni-noslin;624318;Fortuna Sittard;T. Noslin
22.0;Hugo Novoa;A;/players/hugo-novoa-ramos/625575/;hugo-novoa-ramos;625575;FC Utrecht;Hugo Novoa
24.0;P. Wålemark;A;/players/patrik-walemark/626682/;patrik-walemark;626682;sc Heerenveen;P. Walemark
28.0;Z. Buurmeester;M;/players/zico-buurmeester/627669/;zico-buurmeester;627669;PEC Zwolle;Z. Buurmeester
2.0;M. Hilgers;V;/players/mees-hilgers/627701/;mees-hilgers;627701;FC Twente;M. Hilgers
34.0;R. Flamingo;V;/players/ryan-flamingo/627724/;ryan-flamingo;627724;FC Utrecht;R. Flamingo
26.0;L. Everink;V;/players/luca-everink/628510/;luca-everink;628510;Go Ahead Eagles;L. Everink
39.0;L. Wehmeyer;A;/players/lasse-wehmeyer/628512/;lasse-wehmeyer;628512;Heracles Almelo;L. Wehmeyer
11.0;D. Rots;A;/players/daan-rots/628516/;daan-rots;628516;FC Twente;D. Rots
38.0;M. Bruns;M;/players/max-bruns/628828/;max-bruns;628828;FC Twente;M. Bruns
9.0;D. Karlsbakk;A;/players/daniel-seland-karlsbakk/629619/;daniel-seland-karlsbakk;629619;sc Heerenveen;D. Karlsbakk
8.0;Y. Regeer;M;/players/youri-regeer/632221/;youri-regeer;632221;FC Twente;Y. Regeer
37.0;C. Rasmussen;A;/players/christian-theodor-kjelder-rasmussen/632224/;christian-theodor-kjelder-rasmussen;632224;Ajax;C. Rasmussen
42.0;A. Martha;A;/players/arjany-martha/632226/;arjany-martha;632226;Ajax;A. Martha
14.0;C. Webster;M;/players/charlie-webster/632347/;charlie-webster;632347;sc Heerenveen;C. Webster
34.0;I. Saibari;A;/players/ismael-saibari/632481/;ismael-saibari;632481;PSV;I. Saibari
7.0;B. Limbombe;A;/players/bryan-limbombe/632518/;bryan-limbombe;632518;Heracles Almelo;B. Limbombe
20.0;I. Takidine;A;/players/ilias-takidine/632532/;ilias-takidine;632532;RKC Waalwijk;I. Takidine
31.0;R. Janse;K;/players/rijk-janse/632550/;rijk-janse;632550;NEC;R. Janse
;D. Huisman;M;/players/daan-huisman/632782/;daan-huisman;632782;Vitesse;D. Huisman
14.0;C. Driouech;A;/players/couhaib-driouech/632812/;couhaib-driouech;632812;Excelsior;C. Driouech
35.0;R. van Hees;V;/players/rickson-van-hees/632816/;rickson-van-hees;632816;FC Utrecht;R. van Hees
36.0;T. Jansink;K;/players/timo-jansink/632823/;timo-jansink;632823;Heracles Almelo;T. Jansink
31.0;S. Zitman;M;/players/sven-zitman/632827/;sven-zitman;632827;bvo-fc-zwolle;S. Zitman
15.0;N. Naujoks;M;/players/noah-naujoks/632831/;noah-naujoks;632831;Excelsior;N. Naujoks
11.0;M. Lazetić;A;/players/marko-lazeti/633063/;marko-lazeti;633063;Fortuna Sittard;M. Lazetic
21.0;D. Nunumete;M;/players/djenahro-nunumete/633090/;djenahro-nunumete;633090;sc Heerenveen;D. Nunumete
36.0;M. Esajas;M;/players/marcelencio-esajas/633102/;marcelencio-esajas;633102;Almere City FC;M. Esajas
32.0;J. Puriël;A;/players/germain-puriel/633104/;germain-puriel;633104;Almere City FC;J. Puriel
;T. Noslin;V;/players/tyrese-noslin/633105/;tyrese-noslin;633105;Almere City FC;T. Noslin
5.0;C. Widell;V;/players/casper-widell/634865/;casper-widell;634865;Excelsior;C. Widell
15.0;N. El Harmazi;M;/players/nouri-cheung/635560/;nouri-cheung;635560;RKC Waalwijk;N. El Harmazi
22.0;R. Roefs;K;/players/robin-roefs/636190/;robin-roefs;636190;NEC;R. Roefs
38.0;K. Hlynsson;M;/players/kristian-nokkvi-hlynsson/636342/;kristian-nokkvi-hlynsson;636342;Ajax;K. Hlynsson
8.0;O. Fraulo;M;/players/oscar-fraulo/637161/;oscar-fraulo;637161;FC Utrecht;O. Fraulo
30.0;S. Karssies;K;/players/sam-luca-karssies/637401/;sam-luca-karssies;637401;FC Twente;S. Karssies
11.0;J. Bakayoko;A;/players/johan-bakayoko/638229/;johan-bakayoko;638229;PSV;J. Bakayoko
19.0;A. Descotte;A;/players/anthony-descotte/638248/;anthony-descotte;638248;FC Utrecht;A. Descotte
8.0;C. Sandra;M;/players/cisse-sandra/638266/;cisse-sandra;638266;Excelsior;C. Sandra
5.0;Y. Baas;V;/players/youri-baas/638355/;youri-baas;638355;NEC;Y. Baas
19.0;M. van Brederode;A;/players/myron-van-brederode/638358/;myron-van-brederode;638358;AZ;M. van Brederode
21.0;S. Lagsir;A;/players/samir-lagsir/638363/;samir-lagsir;638363;PEC Zwolle;S. Lagsir
;M. Jiménez;M;/players/mylian-jimenez/638366/;mylian-jimenez;638366;PSV;M. Jimenez
;S. Mito;M;/players/shunsuke-mito/640252/;shunsuke-mito;640252;Sparta Rotterdam;S. Mito
2.0;B. Pereira;V;/players/brayann-pereira/640596/;brayann-pereira;640596;NEC;B. Pereira
13.0;A. Kaplan;V;/players/ahmetcan-kaplan/641115/;ahmetcan-kaplan;641115;Ajax;A. Kaplan
32.0;S. Scheperman;M;/players/sem-scheperman/641190/;sem-scheperman;641190;Heracles Almelo;S. Scheperman
7.0;D. Cleonise;A;/players/denilho-cleonise/642338/;denilho-cleonise;642338;RKC Waalwijk;D. Cleonise
21.0;D. Arts;V;/players/dleanu-arts/643504/;dleanu-arts;643504;NEC;D. Arts
14.0;Zidane Iqbal;M;/players/zidane-iqbal/644834/;zidane-iqbal;644834;FC Utrecht;Zidane Iqbal
16.0;B. Klaverboer;K;/players/bernt-klaverboer/645513/;bernt-klaverboer;645513;sc Heerenveen;B. Klaverboer
22.0;M. Benita;V;/players/mimeirhel-benita/645525/;mimeirhel-benita;645525;Excelsior;M. Benita
19.0;Nico Serrano;A;/players/nicolas-serrano-galdeano/647120/;nicolas-serrano-galdeano;647120;PEC Zwolle;Nico Serrano
11.0;Carlos Forbs;A;/players/carlos-borges/649886/;carlos-borges;649886;Ajax;Carlos Forbs
27.0;A. van Axel Dongen;A;/players/amourrichio-van-axel-dongen/654719/;amourrichio-van-axel-dongen;654719;Ajax;A. van Axel Dongen
51.0;C. Setford;K;/players/charlie-setford/655389/;charlie-setford;655389;Ajax;C. Setford
;S. Andersen;M;/players/silas-andersen/655434/;silas-andersen;655434;FC Utrecht;S. Andersen
;Gonçalo Esteves;V;/players/goncalo-do-lago-pontes-esteves/657651/;goncalo-do-lago-pontes-esteves;657651;AZ;Goncalo Esteves
29.0;J. Breum;A;/players/jakob-breum/658739/;jakob-breum;658739;Go Ahead Eagles;J. Breum
33.0;B. Tahirović;A;/players/benjamin-tahirovic/659484/;benjamin-tahirovic;659484;Ajax;B. Tahirovic
47.0;H. Gangstad;V;/players/hakon-gangstad/659578/;hakon-gangstad;659578;bvo-fc-zwolle;H. Gangstad
19.0;Y. Cathline;M;/players/yoann-cathline/660710/;yoann-cathline;660710;Almere City FC;Y. Cathline
23.0;M. Lahdo;A;/players/mayckel-lahdo/660897/;mayckel-lahdo;660897;AZ;M. Lahdo
26.0;D. Payne;V;/players/deron-payne/661386/;deron-payne;661386;FC Volendam;D. Payne
19.0;K. Blommestijn;A;/players/koen-blommestijn/661388/;koen-blommestijn;661388;FC Volendam;K. Blommestijn
17.0;R. Kuijpers;A;/players/roy-kuijpers/663306/;roy-kuijpers;663306;rkc-waalwijk;R. Kuijpers
33.0;J. Baas;M;/players/julian-baas/663406/;julian-baas;663406;Excelsior;J. Baas
30.0;D. Sanches Fernandes;A;/players/derensili-sanches-fernandes/663407/;derensili-sanches-fernandes;663407;Excelsior;D. Sanches Fernandes
43.0;O. Aertssen;V;/players/olivier-aertssen/664645/;olivier-aertssen;664645;Ajax;O. Aertssen
;D. Zandbergen;A;/players/dean-zandbergen/665796/;dean-zandbergen;665796;Sparta Rotterdam;D. Zandbergen
41.0;K. Peersman;K;/players/kjell-peersman/667954/;kjell-peersman;667954;PSV;K. Peersman
25.0;J. Amofa;V;/players/jamal-amofa/668121/;jamal-amofa;668121;Go Ahead Eagles;J. Amofa
17.0;C. Twigt;M;/players/calvin-twigt/669594/;calvin-twigt;669594;FC Volendam;C. Twigt
39.0;M. van Sas;K;/players/mikki-van-sas/669604/;mikki-van-sas;669604;Feyenoord;M. van Sas
31.0;D. Deen;K;/players/daniel-deen/670179/;daniel-deen;670179;AZ;D. Deen
;M. Yüksel;A;/players/mehmet-yuksel/671065/;mehmet-yuksel;671065;Sparta Rotterdam;M. Yuksel
;Y. Borges Sanches;A;/players/yvandro-borges-sanches/672175/;yvandro-borges-sanches;672175;NEC;Y. Borges Sanches
38.0;P. Kuiper;K;/players/pascal-kuiper/672389/;pascal-kuiper;672389;Excelsior;P. Kuiper
;K. Reitmaier;K;/players/kaylen-jermaine-danny-reitmaier/674708/;kaylen-jermaine-danny-reitmaier;674708;Sparta Rotterdam;K. Reitmaier
37.0;J. Antonioli;M;/players/joey-antonioli/675668/;joey-antonioli;675668;FC Volendam;J. Antonioli
;C. Neghli;A;/players/camiel-neghli/680707/;camiel-neghli;680707;Sparta Rotterdam;C. Neghli
28.0;S. Resink;M;/players/stije-resink/681459/;stije-resink;681459;Almere City FC;S. Resink
34.0;S. Seymor;V;/players/serano-seymor/681878/;serano-seymor;681878;Excelsior;S. Seymor
22.0;D. Chirino;V;/players/daijiro-chirino/685598/;daijiro-chirino;685598;PEC Zwolle;D. Chirino
61.0;K. Gadellaa;K;/players/kevin-gadellaa/687902/;kevin-gadellaa;687902;FC Utrecht;K. Gadellaa
44.0;J. Mukeh;V;/players/joshua-mukeh/687903/;joshua-mukeh;687903;FC Utrecht;J. Mukeh
9.0;A. Satriano;A;/players/antonio-satriano/688357/;antonio-satriano;688357;Heracles Almelo;A. Satriano
;A. Anello;A;/players/agustin-anello/688541/;agustin-anello;688541;Sparta Rotterdam;A. Anello
