Rugnummer;Naam;Positie;Link;SW_Naam;SW_ID;Team;Naam_fix
5.0;André Ramalho;V;/players/andre-ramalho--silva/178288/;andre-ramalho--silva;178288;PSV;Andre Ramalho
11.0;P. Gladon;A;/players/paul--gladon/180145/;paul--gladon;180145;Fortuna Sittard;P. Gladon
33.0;T. Haye;M;/players/thom-haye/182931/;thom-haye;182931;sc Heerenveen;T. Haye
29.0;M. van Duinen;A;/players/mike-van-duinen/185178/;mike-van-duinen;185178;Excelsior;M. van Duinen
21.0;R. Mühren;A;/players/robert-muhren/189983/;robert-muhren;189983;FC Volendam;R. Muhren
6.0;Álvaro Peña;M;/players/alvaro-pena-herrero/190508/;alvaro-pena-herrero;190508;Almere City FC;Alvaro Pena
3.0;M. van der Hoorn;V;/players/mike-van-der-hoorn/190540/;mike-van-der-hoorn;190540;FC Utrecht;M. van der Hoorn
;M. Seuntjens;M;/players/mats-seuntjes/194827/;mats-seuntjes;194827;RKC Waalwijk;M. Seuntjens
7.0;A. Jahanbakhsh;A;/players/alireza-jahanbakhsh/207918/;alireza-jahanbakhsh;207918;Feyenoord;A. Jahanbakhsh
1.0;W. Benítez;K;/players/walter-benitez/210145/;walter-benitez;210145;PSV;W. Benitez
3.0;R. Pröpper;V;/players/robin-propper/215228/;robin-propper;215228;FC Twente;R. Propper
30.0;R. Thomas;M;/players/ryan-thomas/215382/;ryan-thomas;215382;PEC Zwolle;R. Thomas
21.0;B. van den Boomen;M;/players/branco-van-den-boomen/215550/;branco-van-den-boomen;215550;Ajax;B. van den Boomen
10.0;C. Akpom;A;/players/chuba-akpom/215570/;chuba-akpom;215570;Ajax;C. Akpom
13.0;T. Lam;M;/players/thomas-lam/216585/;thomas-lam;216585;PEC Zwolle;T. Lam
16.0;S. Nieuwpoort;V;/players/sven-nieuwpoort/217665/;sven-nieuwpoort;217665;Excelsior;S. Nieuwpoort
5.0;M. Pinto;V;/players/michael--goncalves-pinto/217925/;michael--goncalves-pinto;217925;Vitesse;M. Pinto
8.0;K. Peterson;A;/players/kristoffer-peterson/218002/;kristoffer-peterson;218002;Fortuna Sittard;K. Peterson
13.0;M. van der Hart;K;/players/mickey-van-der-hart/218009/;mickey-van-der-hart;218009;sc Heerenveen;M. van der Hart
20.0;J. Brenet;V;/players/joshua-brenet/218113/;joshua-brenet;218113;FC Twente;J. Brenet
25.0;R. Bazoer;M;/players/riechedly-bazoer/218161/;riechedly-bazoer;218161;AZ;R. Bazoer
35.0;M. Dijks;V;/players/mitchel-dijks/219029/;mitchel-dijks;219029;Fortuna Sittard;M. Dijks
;N. Olij;K;/players/nick-olij/235322/;nick-olij;235322;Sparta Rotterdam;N. Olij
8.0;M. Engels;M;/players/mario-engels/243044/;mario-engels;243044;Heracles Almelo;M. Engels
2.0;C. Arcus;V;/players/arcus-carlens/250319/;arcus-carlens;250319;Vitesse;C. Arcus
1.0;M. Brouwer;K;/players/michael-brouwer/250395/;michael-brouwer;250395;Heracles Almelo;M. Brouwer
22.0;T. Wellenreuther;K;/players/timon-wellenreuther/258964/;timon-wellenreuther;258964;Feyenoord;T. Wellenreuther
